브랜드,제품명,현재 판매가,회원 할인가,판매자,다른 판매자,옵션,상세정보,URL
,"백산수 무라벨 생수, 2L, 18개",,"15,480원",로켓배송,16,개당 용량 × 총 수량: 2L × 18개,"소비기한(또는 유통기한): 2025-04-04 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 아시아, 대용량상품: Y, 쿠팡상품번호: 6393352093 - 18355000962",https://www.coupang.com/vp/products/6393352093?itemId=18355000962&vendorItemId=86494109832
,"제주삼다수 그린, 2L, 36개",,"38,880원",로켓배송,66,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2025-02-13 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 라벨있음, 수원지: 국내산, 설탕 함량: 무설탕, 쿠팡상품번호: 7666070794 - 16612054328",https://www.coupang.com/vp/products/7666070794?itemId=16612054328&vendorItemId=86949016528
탐사,"탐사 샘물, 2L, 12개",,"5,990원",로켓배송,없음,개당 용량 × 총 수량: 2L × 12개,"소비기한(또는 유통기한): 2025-02-01 이거나 그 이후인 상품, 쿠팡상품번호: 7689270513 - 20877904723",https://www.coupang.com/vp/products/7689270513?itemId=20877904723&vendorItemId=87945140904
탐사,"탐사수 무라벨, 500ml, 40개","8,590원","8,490원",로켓배송,없음,개당 용량 × 총 수량: 500ml × 40개,"소비기한(또는 유통기한): 2024-08-07 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 쿠팡상품번호: 5625704601 - 9133866797",https://www.coupang.com/vp/products/5625704601?itemId=9133866797&vendorItemId=79544780492
,"제주삼다수 그린, 500ml, 100개",,"48,000원",로켓배송,31,개당 용량 × 총 수량: 500ml × 100개,"소비기한(또는 유통기한): 2025-03-12 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 비건 여부: 비건, 쿠팡상품번호: 7666070794 - 19730837130",https://www.coupang.com/vp/products/7666070794?itemId=19730837130&vendorItemId=86469903929
,"백산수 무라벨 생수, 2L, 36개",,"30,960원",로켓배송,29,개당 용량 × 총 수량: 2L × 36개,"소비기한(또는 유통기한): 2025-04-04 이거나 그 이후인 상품, 수원지: 아시아, 가정용/업소용: 가정용, 용기 타입: 플라스틱병, 대용량상품: Y, 쿠팡상품번호: 7568336960 - 21020472862",https://www.coupang.com/vp/products/7568336960?itemId=21020472862&vendorItemId=86949016997
,"백산수 무라벨 생수, 500ml, 60개",,"22,350원",로켓배송,20,개당 용량 × 총 수량: 500ml × 60개,"소비기한(또는 유통기한): 2025-04-17 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 아시아, 비건 여부: 비건, 쿠팡상품번호: 6393352093 - 19173803756",https://www.coupang.com/vp/products/6393352093?itemId=19173803756&vendorItemId=86494112266
,"풀무원샘물 무라벨 생수, 2L, 30개",,"18,910원",로켓배송,2,개당 용량 × 총 수량: 2L × 30개,"소비기한(또는 유통기한): 2025-01-20 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 수원지: 국내산, 음료수 종류: 생수, 라벨 유무: 무라벨, 쿠팡상품번호: 6239512369 - 13429162491",https://www.coupang.com/vp/products/6239512369?itemId=13429162491&vendorItemId=86494126424
스파클,"스파클 생수 무라벨, 500ml, 60개",,"11,660원",스파클주식회사,없음,개당 용량 × 총 수량: 500ml × 60개,"수원지: 국내산, 쿠팡상품번호: 6830320694 - 20288973632",https://www.coupang.com/vp/products/6830320694?itemId=20288973632&vendorItemId=83406358806
,"아이시스 8.0 무라벨 ECO 생수, 300ml, 100개",,"27,370원",로켓배송,4,개당 용량 × 총 수량: 300ml × 100개,"소비기한(또는 유통기한): 2024-10-14 이거나 그 이후인 상품, 용기 타입: 플라스틱병, 라벨 유무: 무라벨, 수원지: 국내산, 쿠팡상품번호: 7865650251 - 20472000660",https://www.coupang.com/vp/products/7865650251?itemId=20472000660&vendorItemId=86467813959
